Time,Type,Instrument,Product,Qty.,Avg. price,Status
2020-12-24 16:39:11,BUY,USDINR20DECFUT,MIS,2/2,73.5575,COMPLETE
2020-12-24 16:38:49,BUY,JPYINR20DECFUT,MIS,2/2,71,COMPLETE
2020-12-24 15:41:42,BUY,IOC,CNC,17/17,90.25,COMPLETE
2020-12-24 15:15:40,BUY,INFY,MIS,7/7,1235.5,COMPLETE
2020-12-24 15:15:38,BUY,TVSMOTOR,MIS,8/8,479.65,COMPLETE
2020-12-24 12:55:25,SELL,ICICIPRULI,MIS,5/5,499.7,COMPLETE
2020-12-24 11:40:22,BUY,COFORGE,MIS,2/2,2639,COMPLETE
2020-12-24 11:40:15,BUY,ICICIPRULI,MIS,5/5,507.4,COMPLETE
2020-12-24 11:20:23,SELL,INFY,MIS,7/7,1232.4,COMPLETE
2020-12-24 11:15:50,SELL,ONGC,MIS,32/32,93.65,COMPLETE
2020-12-24 10:50:25,SELL,COFORGE,MIS,2/2,2610.5,COMPLETE
2020-12-24 10:45:38,SELL,TVSMOTOR,MIS,8/8,481.7,COMPLETE
2020-12-24 10:40:19,SELL,VEDL,MIS,10/10,163,COMPLETE
2020-12-24 10:30:21,SELL,USDINR20DECFUT,MIS,2/2,73.645,COMPLETE
2020-12-24 10:16:00,BUY,ONGC,MIS,32/32,95.35,COMPLETE
2020-12-24 10:13:03,BUY,VEDL,MIS,10/10,165.45,COMPLETE
2020-12-24 10:10:25,SELL,JPYINR20DECFUT,MIS,2/2,71.14,COMPLETE
2020-12-24 09:18:31,BUY,BHEL,CNC,68/68,34,COMPLETE
